seccion,titular,enlace_noticia
Entrevista,"María Noel Vaeza, directora regional para las Américas y el Caribe de ONU Mujeres: ""Yo creo en la paridad, tiene que ser nuestro norte""",https://www.latercera.com/mundo/noticia/maria-noel-vaeza-directora-regional-las-americas-caribe-onu-mujeres-creo-la-paridad-norte/995354/
La Tercera PM,"Desde ""Matapaco"" a ""Chile Despertó"": Las marcas que buscan salir a la luz después del estallido social",https://www.latercera.com/la-tercera-pm/noticia/desde-matapaco-a-chile-desperto-las-marcas-que-buscan-salir-a-la-luz-despues-del-estallido-social/981318/
Feminismo,Los azares del cuerpo,https://www.latercera.com/paula/los-azares-del-cuerpo/
#MeToo,"Chimamanda Ngozi Adichie, la escritora icono del feminismo que viene a Chile",https://www.latercera.com/la-tercera-pm/noticia/chimamanda-ngozi-adichie-la-escritora-icono-del-feminismo-viene-chile/969285/
Opinión,"La viralización de LasTesis: violencia hacia las mujeres no tiene condición social, ni color, ni fronteras",https://www.latercera.com/que-pasa/noticia/la-viralizacion-de-lastesis/953247/
La Tercera PM,"Christiane Endler en clave feminista: ""Hay que trabajar y luchar en pro de la igualdad""",https://www.latercera.com/la-tercera-pm/noticia/953553/953553/
Feminismo,Terminar con la violencia sexual,https://www.latercera.com/paula/terminar-la-violencia-sexual/
Feminismo,Compartir el trabajo doméstico,https://www.latercera.com/paula/compartir-trabajo-domestico/
Feminismo,La necesidad de referentes,https://www.latercera.com/paula/la-necesidad-referentes/
ElPresenteEsFemenino,"Igual pega, igual paga",https://www.latercera.com/paula/igual-pega-igual-paga/
Feminismo,Romper con los cánones de belleza,https://www.latercera.com/paula/romper-los-canones-belleza/
Relaciones,Cómo iniciar una conversación con fines románticos en la era de Lastesis,https://www.latercera.com/practico/noticia/iniciar-conversacion-fines-romanticos/944968/
Sofía Calvo,"Sofía Calvo: ""La ropa puede ser un vehículo de desobediencia""",https://www.latercera.com/culto/2019/12/17/sofia-calvo-escritora-la-ropa-puede-vehiculo-desobediencia/
Libros,¿Vivimos en una “cultura de la violación”?,https://www.latercera.com/culto/2019/12/17/vivimos-en-una-cultura-de-la-violacion/
Feminismo,"LasTesis: ""La revolución feminista es la más necesaria de la historia""",https://www.latercera.com/nacional/noticia/lastesis-la-revolucion-feminista-la-mas-necesaria-la-historia/937081/
Feminismo,"Lastesis: ""Es curioso que hoy nuestra palabra valga algo; siempre hemos luchado por ser escuchadas""",https://www.latercera.com/culto/2019/12/12/lastesis-nuestra-palabra-valga-algo/
Feminismo,"Lastesis: ""Es curioso que hoy nuestra palabra valga algo; siempre hemos luchado por ser escuchadas""",https://www.latercera.com/culto/2019/12/12/lastesis-nuestra-palabra-valga-algo/
Feminismo,"Lastesis: ""Es curioso que hoy nuestra palabra valga algo; siempre hemos luchado por ser escuchadas""",https://www.latercera.com/culto/2019/12/12/lastesis-nuestra-palabra-valga-algo/
Feminismo,"Lastesis: ""Es curioso que hoy nuestra palabra valga algo; siempre hemos luchado por ser escuchadas""",https://www.latercera.com/culto/2019/12/12/lastesis-nuestra-palabra-valga-algo/
Libros,Cómo callar a los hombres,https://www.latercera.com/culto/2019/12/11/como-callar-a-los-hombres/
Crisis social,Alexandria Ocasio-Cortez difunde video de Lastesis y expresa solidaridad con las chilenas,https://www.latercera.com/mundo/noticia/alexandria-ocasio-cortez-difunde-video-lastesis-expresa-solidaridad-las-chilenas/929777/
Feminismo,Lastesis: llegó la hora de las seniors,https://www.latercera.com/nacional/noticia/lastesis-llego-la-hora-las-seniors/926924/
Feminismo,"Ministra Plá aborda por primera vez performance de Lastesis: ""Ha visibilizado la violencia sexual contra la mujer""",https://www.latercera.com/nacional/noticia/ministra-pla-aborda-primera-vez-performance-lastesis-ha-visibilizado-la-violencia-sexual-la-mujer/926607/
Sociedad,Lastesis: la hora de las mujeres mayores,https://www.latercera.com/que-pasa/noticia/lastesis-la-hora-de-las-mujeres-mayores/925995/
Sociedad,"Feminismo, el siguiente paso: las razones tras eco universal de Lastesis",https://www.latercera.com/que-pasa/noticia/las-razones-tras-eco-universal-de-lastesis/924657/
Feminismo,La violencia de género según las mujeres,https://www.latercera.com/paula/la-violencia-genero-segun-las-mujeres/
Marcela Trujillo,"Marcela Trujillo: ""El dibujo te ayuda a desarticular traumas""",https://www.latercera.com/culto/2019/11/26/marcela-trujillo-escritora-grafica-dibujo-te-ayuda-desarticular-traumas/
Shirley Manson,"Shirley Manson por crisis social chilena: ""Cuando la policía dispara a las caras de la gente, no es accidental""",https://www.latercera.com/culto/2019/11/12/shirley-manson-crisis-social-chile/
George Eliot,Dos siglos de George Eliot: la primera escritora feminista,https://www.latercera.com/culto/2019/11/06/george-eliot-escritora-feminista/
Vida inteligente,"El género, lo queer y la política según Judith Butler",https://www.latercera.com/practico/noticia/genero-queer-politica-judith-butler/845507/
#MeToo,Fundadora del #MeToo francés es condenada por difamar al hombre al que acusó,https://www.latercera.com/mundo/noticia/fundadora-del-metoo-frances-condenada-difamar-al-hombre-al-acuso/834426/
Universidad de los Andes,"""Advertimos una ideologización desde la dialéctica feminista"": La defensa de la Pastoral de derecho de la U. Andes tras críticas a mensajes religiosos publicados en Instagram",https://www.latercera.com/nacional/noticia/u-andes-mensajes-religosos-feminismo/801624/
Octavia Butler,"Afrofuturismo: se publica novela de la dama de la ciencia ficción estadounidense, Octavia Butler",https://www.latercera.com/culto/2019/08/26/afrofuturismo-octavia-butler/
Cine,"Mean girls, Tina Fey y la importancia de solidarizar entre mujeres",https://www.latercera.com/culto/2019/08/22/mean-girls-tina-fey-y-la-importancia-de-solidarizar-entre-mujeres/
